ethnic_group,ethnic_code,ethnic_desc
White,A,British
White,B,Irish
White,C,Any other White background
Mixed,D,White and Black Caribbean
Mixed,E,White and Black African
Mixed,F,White and Asian
Mixed,G,Any other mixed background
Asian or Asian British,H,Indian
Asian or Asian British,J,Pakistani
Asian or Asian British,K,Bangladeshi
Asian or Asian British,L,Any other Asian background
Black or Black British,M,Caribbean
Black or Black British,N,African
Black or Black British,P,Any other Black background
Other Ethnic Groups,R,Chinese
Other Ethnic Groups,S,Any other ethnic group
Not stated,Z,Not stated
Unknown,99,Unknown
