location_type,type,LCL,Central,UCL
Home,PainNoRelieved,0.076,0.08199999999999999,0.08800000000000001
Home,PartiallyRelieved,0.426,0.436,0.446
Hospital,PainNoRelieved,0.036000000000000004,0.04,0.044000000000000004
Hospital,PartiallyRelieved,0.267,0.276,0.285
Hospice,PainNoRelieved,0.008,0.013999999999999999,0.02
Hospice,PartiallyRelieved,0.10400000000000001,0.12,0.135
Care Home,PainNoRelieved,0.018000000000000002,0.022000000000000002,0.026000000000000002
Care Home,PartiallyRelieved,0.23,0.242,0.254
Elsewhere,PainNoRelieved,0.018000000000000002,0.022000000000000002,0.026000000000000002
Elsewhere,PartiallyRelieved,0.23,0.242,0.254
